,maxTemp_next,Temp20,AvgTemp,MinTemp,Temp12,Temp6,Months,Humid6,Humid12,WindDirn20,MaxPressure,AvgDirn,MaxSpeed,WinSpeed6,WinSpeed12,AvgSpeed
1811,23.92,26.66,23.0,20.81,21.36,21.18,9,88.0,88.0,110,1023.0,139.62,3,0,1,1.25
1812,26.28,23.83,22.13,20.83,20.83,21.17,9,88.0,83.0,70,1021.0,40.71,5,1,3,2.42
1813,27.19,24.17,23.2,22.0,22.27,22.45,9,83.0,78.0,0,1020.0,51.17,8,3,3,4.54
1814,28.0,27.19,24.27,22.25,22.83,22.63,9,78.0,73.0,350,1013.0,72.5,10,4,3,3.88
1815,28.91,28.0,24.6,22.54,22.73,22.9,9,69.0,78.0,0,1017.0,46.12,3,2,1,1.96
1816,31.42,28.91,23.81,19.18,20.09,21.81,9,49.0,55.0,360,1018.0,40.5,4,4,4,2.88
1817,32.8,31.33,25.3,20.54,21.54,22.09,9,60.0,56.0,30,1019.0,43.46,4,3,2,2.58
1818,31.09,32.18,25.48,19.57,21.32,20.65,9,60.0,73.0,20,1020.0,162.17,4,1,2,1.5
1819,28.46,30.27,25.5,20.83,22.9,22.24,9,69.0,78.0,70,1020.0,94.29,4,1,1,1.71
1820,30.64,28.17,23.61,20.08,20.45,20.9,9,83.0,88.0,0,1019.0,68.75,4,1,1,1.5
1821,26.45,30.27,24.83,20.91,22.18,21.72,9,83.0,83.0,74,1017.0,53.12,3,2,2,1.88
1822,20.33,25.63,24.22,21.54,22.91,24.3,9,94.0,60.0,10,1012.0,88.33,6,1,1,2.33
1823,18.0,20.33,16.91,11.74,12.99,14.99,9,58.0,71.0,280,1019.0,181.0,4,1,1,1.83
1824,20.54,17.36,15.71,12.99,13.83,15.4,9,59.0,71.0,20,1026.0,153.75,5,2,2,2.54
1825,23.33,20.54,14.95,10.01,11.54,12.27,10,76.0,87.0,284,1030.0,84.46,7,3,2,2.33
1826,21.53,23.33,15.74,9.36,10.99,11.32,10,58.0,76.0,20,1031.0,139.83,3,1,2,1.62
1827,24.85,20.85,15.88,10.29,12.22,11.76,10,71.0,82.0,0,1038.0,87.62,3,2,2,1.88
1828,28.66,24.85,16.83,10.84,12.14,11.98,10,71.0,82.0,217,1036.0,168.38,4,1,2,2.38
1829,27.84,28.66,22.24,17.68,18.41,18.99,10,68.0,77.0,0,1024.0,110.04,6,3,1,2.92
1830,27.58,27.5,23.35,19.61,19.84,21.08,10,83.0,77.0,290,1021.0,187.04,6,1,2,2.33
1831,26.73,26.23,22.66,18.78,19.38,20.47,10,78.0,100.0,0,1021.0,96.71,4,1,2,1.62
1832,25.08,26.33,24.26,23.25,23.84,23.46,10,78.0,83.0,226,1019.0,97.96,6,2,6,3.21
1833,27.84,24.23,23.97,23.38,23.58,23.53,10,88.0,100.0,0,1017.0,75.62,8,1,4,2.33
1834,24.16,27.84,24.11,19.62,20.22,23.01,10,78.0,77.0,318,1020.0,202.5,4,4,2,2.25
1835,20.07,23.25,20.58,17.53,18.61,18.06,10,72.0,64.0,60,1022.0,98.92,3,2,3,2.21
1836,19.07,18.33,17.13,14.08,14.54,17.33,10,77.0,93.0,79,1029.0,54.12,6,3,4,3.62
1837,22.75,19.07,15.08,11.16,12.83,12.69,10,71.0,76.0,60,1032.0,41.83,5,4,2,2.79
1838,23.16,22.75,19.29,17.18,17.67,17.33,10,88.0,93.0,56,1037.0,54.67,4,1,2,1.71
1839,21.5,22.75,20.76,19.0,19.41,19.38,10,82.0,93.0,0,1023.0,134.12,5,1,2,2.38
1840,16.0,14.5,17.24,13.36,15.67,21.0,10,88.0,62.0,300,1020.0,171.62,6,6,2,3.33
1841,23.46,16.0,10.22,4.66,5.07,7.14,10,52.0,70.0,270,1028.0,62.5,4,2,3,1.71
1842,23.09,23.46,13.84,7.91,8.53,8.37,10,53.0,61.0,0,1028.0,119.54,4,3,1,1.92
1843,24.15,23.09,15.87,9.68,10.22,12.13,10,55.0,67.0,0,1026.0,131.54,4,2,3,2.08
1844,26.63,24.15,17.55,11.6,13.65,13.98,10,59.0,67.0,0,1023.0,175.71,6,2,3,2.62
1845,24.42,25.31,17.03,9.98,10.6,11.98,10,36.0,47.0,0,1028.0,199.92,3,2,0,1.42
1846,23.67,24.33,16.63,9.57,10.83,12.44,10,48.0,82.0,0,1031.0,158.58,3,1,1,1.46
1847,24.08,23.08,18.5,13.83,16.92,14.14,10,88.0,88.0,140,1029.0,111.5,8,2,1,3.21
1848,20.75,22.54,22.23,20.91,22.08,21.91,10,83.0,94.0,180,1018.0,142.38,10,6,2,5.5
1849,15.91,18.66,17.77,14.0,14.0,18.83,10,93.0,63.0,278,1008.0,249.92,6,2,2,2.25
1850,17.83,13.75,13.9,11.69,12.16,14.0,10,47.0,58.0,260,1009.0,171.75,4,3,3,2.5
