,Actual,pred
409,6.8,6.716601828485841
410,7.4,7.139477003708164
411,6.8,7.630194305430753
412,8.3,6.859201734265771
413,7.3,7.5361706117796965
414,8.6,7.312659152441328
415,2.0,7.680423048127778
416,5.4,6.957199120025156
417,6.0,6.315001400667138
418,6.8,6.324830676811101
419,6.6,6.5907572860452435
420,7.0,6.771774699166391
421,7.2,7.008700084871257
422,7.4,7.440038485657099
423,7.6,7.70199002174779
424,12.2,7.949620682764216
425,9.4,10.451870391648397
426,7.8,9.71415708923328
427,8.8,8.53323917505841
428,11.5,8.864135691773148
429,7.4,10.61044731894807
430,7.6,8.495815554174234
431,7.5,7.910881887247785
432,8.8,7.996730173419489
433,8.6,8.88102895602729
434,9.4,8.822778361278795
435,11.0,9.282016912030933
436,11.0,10.19377709206065
437,8.0,10.189019241580839
438,9.0,8.784145700694909
439,14.0,9.206466507488647
440,13.6,12.240491177924977
441,13.4,12.881810341865267
442,12.2,13.138942052470451
443,13.0,11.894840221956896
444,10.6,12.462708634656522
445,13.3,11.796135046094054
446,14.5,12.988889085251738
447,14.2,14.150805352880807
448,14.8,14.187712656187939
449,16.0,14.549332720415748
450,16.8,15.63608096082933
451,15.0,16.180049586769307
452,16.0,15.356215700091083
453,14.0,15.776783584898796
454,11.7,14.730874419643046
455,11.5,13.246753322622828
456,10.0,12.323975586716333
457,12.4,11.14888488648174
458,12.5,11.889477716881162
459,12.6,12.099079264337385
460,14.0,12.282939283014223
461,15.2,13.357308005330305
462,14.4,14.51249542901519
463,16.8,14.354330610988349
464,17.8,15.823725611943713
465,18.2,16.929200159391844
466,16.4,17.728320458378906
467,14.0,15.252299237963571
468,14.0,14.685446500072288
469,15.0,14.715857379817626
470,15.6,14.928891311015763
471,16.0,15.360233611812491
472,17.4,15.720810552458547
473,14.8,16.620123557213752
474,13.0,15.620436750870455
475,14.9,13.777643250729673
476,15.5,14.58431784036189
477,15.5,15.065116529737528
478,14.0,15.166683897652073
479,15.5,14.57870187738191
480,14.4,15.291329819362877
481,16.3,14.997549795391652
482,18.6,15.879212092237955
483,17.4,17.415232553814324
484,15.5,17.335849513583227
485,17.8,16.031937510071447
486,16.8,17.13565164032054
487,15.4,17.03546565572226
488,16.7,16.05706163953746
489,16.2,16.584205465687266
490,17.8,16.463472177527553
491,16.5,17.133606877417666
492,16.4,16.540023716533945
493,20.0,17.984360556863102
494,17.0,18.88957297401149
495,18.0,17.83373893257877
496,19.5,18.037249373172706
497,18.5,19.101257564181644
498,18.5,18.70230927133529
499,19.7,18.34347706075956
500,18.7,19.059830466293388
501,20.5,18.926231391326294
502,19.4,19.940925493964553
503,19.4,19.666873437719342
504,20.8,19.506375978231127
505,18.0,20.062136723641423
506,18.8,18.71856060773797
507,19.6,18.678948333043977
508,20.0,19.223030906962727
509,20.0,19.70816866308104
510,19.5,19.502662840293528
511,21.5,19.35889548269922
512,21.0,20.645803175807973
513,21.0,20.8085214449251
514,20.0,20.82746646557057
515,20.5,20.197870089839007
516,20.8,20.29256159339033
517,21.2,20.55140416952651
518,21.0,21.443265201736768
519,20.0,21.131961708563395
520,21.0,20.310995274249482
521,21.2,20.628777823334328
522,20.4,20.526230584304162
523,20.1,20.094593551782836
524,18.2,19.972724160012508
525,18.2,18.52342105663151
526,19.3,18.36976832384381
527,19.0,18.985320650616174
528,19.2,19.19500519086328
529,19.6,19.4307777631138
530,19.7,19.617337716581655
531,20.4,19.606977827893452
532,21.0,19.9744995976761
533,20.0,20.426466432984334
534,20.4,20.119184664368554
535,20.6,20.225335302665716
536,21.0,20.189369338645033
537,20.0,20.059919393888947
538,20.6,19.883627821566062
539,20.5,20.340613435459066
540,20.6,20.649407754448433
541,21.0,20.79783477087633
542,20.8,20.845873993320208
543,20.6,20.81024830685282
544,21.0,20.610017220551374
545,20.0,20.86464437913234
546,20.4,20.39606384078328
547,20.5,20.524796380381733
548,20.5,20.347493386835527
549,20.0,20.420987764342836
550,22.0,20.139652246136084
551,19.8,21.279099927829616
552,21.5,20.27625638428981
553,20.5,20.820632863719947
554,20.0,20.335914722264324
555,20.0,20.038149198591267
556,21.2,19.99370162242465
557,20.6,20.815536190373745
558,21.0,20.643425074473612
559,20.4,20.718974096748028
560,19.5,20.492128363947646
561,21.4,19.89520069569208
562,20.4,20.757662555435697
563,19.8,20.389396512843124
564,19.8,19.848658975174207
565,19.5,19.868800724273637
566,21.4,19.74758829857366
